Education,Salary
Bachelor,92552.0
Bachelor,92552.0
Bachelor,92552.0
Bachelor,92552.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
Bachelor,63253.0
Bachelor,63253.0
Bachelor,63253.0
Bachelor,63253.0
Bachelor,63253.0
Bachelor,91163.0
Bachelor,91163.0
Bachelor,91163.0
Bachelor,91163.0
Bachelor,70323.0
Bachelor,70323.0
Bachelor,76849.0
Bachelor,76849.0
Bachelor,69695.0
Bachelor,69695.0
Bachelor,69695.0
Bachelor,69695.0
Bachelor,63478.0
Bachelor,63478.0
Bachelor,63478.0
Bachelor,63478.0
Bachelor,75638.0
Bachelor,75638.0
Bachelor,75638.0
Bachelor,54133.0
Bachelor,54133.0
Bachelor,54133.0
Bachelor,96269.0
Bachelor,96269.0
Bachelor,96269.0
Bachelor,96269.0
Bachelor,51667.0
Bachelor,51667.0
Bachelor,51667.0
Bachelor,51667.0
Bachelor,51667.0
Bachelor,51667.0
Bachelor,51667.0
Master,94440.0
Master,94440.0
Master,94440.0
Master,94440.0
Master,94440.0
Master,94440.0
Bachelor,101933.0
Bachelor,101933.0
Master,128118.0
Master,128118.0
Master,128118.0
Master,128118.0
Master,128118.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
Bachelor,47717.0
Bachelor,47717.0
Master,97497.0
Master,97497.0
Master,97497.0
Master,97497.0
Master,97497.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
College,73262.0
Bachelor,56523.0
Bachelor,56523.0
Bachelor,56523.0
Bachelor,56523.0
Bachelor,56523.0
High School or Below,45229.0
High School or Below,45229.0
High School or Below,45229.0
Bachelor,50688.0
Bachelor,50688.0
Bachelor,91817.0
Bachelor,91817.0
Bachelor,91817.0
Bachelor,68711.0
Bachelor,69020.0
Bachelor,69020.0
Bachelor,69020.0
Bachelor,56531.0
Bachelor,56531.0
Bachelor,56531.0
Bachelor,56531.0
College,73262.0
Bachelor,87781.0
Bachelor,87781.0
Bachelor,87781.0
Bachelor,87781.0
Doctor,239867.0
Doctor,239867.0
Doctor,239867.0
Doctor,239867.0
Master,101038.0
Master,101038.0
Master,101038.0
Bachelor,94946.0
Bachelor,94946.0
Bachelor,94946.0
Bachelor,94946.0
Bachelor,94946.0
Bachelor,87654.0
Bachelor,87654.0
Bachelor,87654.0
Bachelor,66733.0
Bachelor,66733.0
Bachelor,66733.0
Bachelor,66733.0
Bachelor,70267.0
