Loyalty_Number,Year,Avg_Flights_Per_Year
100018,2017,2.0
100018,2018,1.8333333333333333
100102,2017,2.0833333333333335
100102,2018,2.1666666666666665
100140,2017,1.8333333333333333
100140,2018,2.0833333333333335
100214,2017,0.8333333333333334
100214,2018,1.0
100272,2017,1.6666666666666667
100272,2018,1.4166666666666667
100301,2017,2.5833333333333335
100301,2018,0.8333333333333334
100364,2017,1.8333333333333333
100364,2018,0.9166666666666666
100380,2017,1.4166666666666667
100380,2018,1.3333333333333333
100428,2017,1.0
100428,2018,1.9166666666666667
100504,2017,1.0833333333333333
100504,2018,0.5
100550,2017,1.9166666666666667
100550,2018,1.5833333333333333
100585,2017,1.75
100585,2018,1.6666666666666667
100590,2018,2.5454545454545454
100642,2017,1.75
100642,2018,1.25
100644,2017,1.5
100644,2018,0.9166666666666666
100646,2017,1.0
100646,2018,1.5
100727,2017,1.75
100727,2018,2.25
100737,2017,1.5
100737,2018,2.4166666666666665
100753,2017,3.0
100753,2018,1.25
100816,2017,1.0833333333333333
100816,2018,1.5
100853,2017,1.6666666666666667
100853,2018,1.5833333333333333
100883,2017,1.0833333333333333
100883,2018,1.75
100890,2017,0.9166666666666666
100890,2018,1.3333333333333333
101018,2017,1.8333333333333333
101018,2018,1.5833333333333333
101148,2017,1.75
101148,2018,0.75
101356,2017,0.0
101356,2018,0.0
101363,2017,1.25
101363,2018,1.3333333333333333
101487,2017,2.4166666666666665
101487,2018,2.25
101515,2017,1.4166666666666667
101515,2018,1.0
101540,2017,0.9166666666666666
101540,2018,1.5833333333333333
101544,2017,1.4166666666666667
101544,2018,1.9166666666666667
101547,2017,0.0
101547,2018,1.4166666666666667
101581,2017,1.5
101581,2018,1.5
101594,2017,1.3333333333333333
101594,2018,2.25
101644,2017,0.0
101644,2018,0.16666666666666666
101663,2017,1.9166666666666667
101663,2018,1.5
101664,2017,0.9166666666666666
101664,2018,1.5
101709,2017,2.1666666666666665
101709,2018,1.0
101768,2017,0.0
101768,2018,0.08333333333333333
101876,2017,0.4166666666666667
101876,2018,0.5833333333333334
101895,2017,1.5833333333333333
101895,2018,0.6666666666666666
101902,2017,1.5789473684210527
101902,2018,1.9583333333333333
101945,2017,1.5833333333333333
101945,2018,1.6666666666666667
102168,2017,0.0
102168,2018,2.0833333333333335
102184,2017,1.9166666666666667
102184,2018,1.8333333333333333
102207,2017,1.1666666666666667
102207,2018,0.9166666666666666
102299,2017,1.8333333333333333
102299,2018,2.1666666666666665
102308,2017,0.0
102308,2018,0.0
102311,2017,2.5
102311,2018,1.75
102376,2018,6.636363636363637
102464,2017,0.5
102464,2018,0.6666666666666666
102615,2017,0.0
102615,2018,0.16666666666666666
102726,2017,0.3333333333333333
102726,2018,1.4166666666666667
102730,2017,0.0
102730,2018,2.25
102740,2017,0.0
102740,2018,0.4166666666666667
102788,2018,7.636363636363637
102851,2017,1.6666666666666667
102851,2018,1.5833333333333333
102877,2017,2.3333333333333335
102877,2018,1.4166666666666667
102982,2017,0.5833333333333334
102982,2018,1.8333333333333333
103043,2017,2.25
103043,2018,1.3333333333333333
103151,2017,1.5
103151,2018,1.0833333333333333
